Poll	Start	End	Trump	Carson	Fiorina	Rubio	Bush	Cruz	Kasich	Huckabee	Christie	Paul	Santorum	Jindal	Graham	Pataki	Spread
CNN/ORCCNN/ORC	11/18	11/20	--	--	--	10	5	11	--	--	24	15	6	--	--	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	--	--	16	12	12	--	--	22	20	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	--	--	10	14	15	--	--	16	16	5	6	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	--	--	12	11	10	--	--	13	17	--	3	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	--	--	10	11	20	--	--	14	17	3	4	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	--	--	9	10	7	--	--	17	13	5	--	--	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	--	18	16	--	--	--	21	15	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	--	--	10	13	12	--	--	13	16	4	4	--	--	Paul +3
McClatchy/MaristMcClatchy/Marist	7/15	7/18	--	--	--	12	10	7	--	--	15	9	2	1	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	--	--	16	15	7	--	--	15	14	5	3	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	--	19	10	--	--	--	14	15	--	3	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	--	21	12	--	--	--	15	17	5	4	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	--	22	13	--	--	11	13	10	--	4	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	--	21	14	--	--	15	14	5	--	3	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	--	18	12	--	--	11	14	7	4	--	--	--	Rubio +4
